,CustomerID,number_of_purchases,avg_order_cost,revenue_2020
1,12347.0,1,711.79,3598.21
2,12348.0,1,892.8,904.44
20,12370.0,2,934.01,1677.67
26,12377.0,1,1001.52,626.6
31,12383.0,1,600.72,1249.84
33,12386.0,1,258.9,143.0
39,12395.0,2,339.96000000000004,2338.71
56,12417.0,1,291.34,3357.76
61,12423.0,1,237.93,1621.38
65,12427.0,1,303.5,522.3
67,12429.0,1,1281.5,2468.9
69,12431.0,2,386.975,5713.5
71,12433.0,2,1893.56,9588.75
100,12471.0,2,1937.18,15949.69
101,12472.0,1,1631.3,4940.81
105,12476.0,1,12.45,6803.97
110,12481.0,2,395.67,4804.9800000000005
119,12494.0,2,31.275,1183.55
155,12540.0,1,881.01,12519.23
167,12557.0,1,620.0,11370.96
176,12567.0,2,971.19,7458.9
183,12577.0,1,195.89,461.91
189,12583.0,1,855.86,6425.52
191,12585.0,1,1262.85,777.25
205,12600.0,2,137.4,2324.24
223,12621.0,2,691.825,12306.02
245,12647.0,3,397.8666666666666,2529.2200000000003
258,12662.0,1,261.48,3588.3
262,12668.0,1,469.87,3337.28
269,12678.0,1,221.28,17407.18
272,12681.0,2,1059.0549999999998,11669.43
273,12682.0,2,537.645,11212.93
274,12683.0,1,1063.08,7413.49
281,12691.0,1,180.0,855.8
291,12705.0,1,858.0,6010.29
293,12708.0,1,196.44,2516.47
294,12709.0,2,657.845,8420.83
296,12712.0,2,235.315,3925.5
304,12720.0,2,328.565,5124.6
305,12721.0,1,286.6,2369.53
310,12726.0,1,170.28,2438.82
314,12731.0,1,1071.9,17824.01
325,12747.0,2,353.135,3489.74
326,12748.0,14,302.00928571428574,29491.6
330,12753.0,1,3590.59,17838.8
332,12755.0,1,3794.4,17.55
338,12763.0,1,320.08,174.0
340,12766.0,1,1149.29,5840.34
346,12779.0,1,248.16,3733.2
348,12782.0,1,463.5,1867.42
357,12793.0,1,131.8,413.68
363,12808.0,1,129.4,354.25
377,12826.0,1,155.0,1319.72
380,12829.0,1,85.75,207.25
388,12838.0,1,390.79,292.34
389,12839.0,2,368.725,4853.97
391,12841.0,2,252.995,3516.36
409,12867.0,1,362.79,3674.03
410,12868.0,1,203.3,1403.7600000000002
412,12872.0,1,378.53,221.44
414,12875.0,1,293.76000000000005,49.470000000000006
416,12877.0,1,150.06,1385.71
439,12913.0,1,417.62,2066.01
440,12915.0,1,199.65,164.0
445,12921.0,2,343.9,15899.29
450,12928.0,1,392.34,1670.36
453,12931.0,1,177.0,41878.96
461,12942.0,1,258.75,425.15
462,12944.0,1,286.95,317.56
464,12947.0,1,304.04,1299.95
475,12963.0,1,365.8,1490.83
481,12971.0,5,87.23800000000001,10753.72
485,12980.0,1,889.32,6485.58
492,12989.0,1,202.5,6721.61
500,13000.0,1,201.75,333.1
504,13004.0,1,357.01,5298.9
510,13013.0,1,1528.34,3282.6000000000004
516,13021.0,1,157.35000000000002,2459.03
519,13027.0,1,1440.0,5472.0
521,13029.0,1,382.5,865.0
522,13030.0,1,427.74,371.74
525,13034.0,1,165.86,476.91
534,13047.0,1,366.63000000000005,2870.91
537,13050.0,4,299.9675,4636.99
550,13069.0,2,322.06,3792.0
554,13077.0,1,313.72,415.55
555,13078.0,2,440.58,11746.78
558,13081.0,1,2366.78,25970.6
562,13089.0,5,1190.642,52872.62
563,13090.0,2,504.2,7902.42
565,13092.0,1,185.45,292.38
566,13093.0,2,1897.755,4036.96
567,13094.0,1,223.68,1703.64
569,13097.0,1,304.9,5705.52
573,13102.0,2,336.96000000000004,5750.17
575,13104.0,1,101.76,996.72
581,13113.0,1,372.97,11872.99
584,13117.0,2,194.075,596.76
589,13124.0,1,1256.32,2610.01
590,13126.0,1,223.44,1876.2
600,13138.0,1,193.23,769.16
602,13140.0,1,159.51,264.21000000000004
606,13145.0,1,295.0,323.52000000000004
609,13148.0,1,309.40000000000003,3397.7200000000003
613,13155.0,1,379.7,592.06
620,13165.0,1,354.64,666.84
627,13173.0,1,165.94,187.71
628,13174.0,1,1415.97,1401.06
631,13178.0,1,710.0,5015.47
644,13198.0,1,384.55,3016.69
645,13199.0,2,355.9,9105.32
650,13209.0,1,318.85,5572.76
652,13211.0,1,110.7,1086.72
659,13221.0,1,498.16,349.25
662,13225.0,1,1206.72,5257.120000000001
667,13230.0,1,93.45,2713.52
672,13238.0,1,91.15,609.58
674,13240.0,1,224.07,439.58
684,13255.0,1,225.7,173.81
693,13267.0,2,311.15,3899.19
695,13269.0,2,331.08500000000004,4684.06
721,13305.0,1,136.2,1864.66
730,13317.0,1,238.05,2035.63
732,13319.0,2,775.54,9294.47
737,13324.0,1,650.1,6471.85
739,13327.0,1,745.0,2882.77
741,13329.0,1,304.2,484.8
791,13402.0,1,308.28000000000003,312.95
795,13408.0,4,757.8,25085.84
801,13418.0,3,526.54,4547.81
807,13426.0,1,336.98,3304.34
820,13448.0,2,414.77,2709.83
826,13455.0,1,692.94,365.4
828,13458.0,1,1185.86,8460.710000000001
835,13468.0,3,303.6666666666667,4793.97
850,13487.0,1,193.15,382.25
851,13488.0,1,1381.92,7586.39
853,13491.0,2,98.2,1019.42
857,13495.0,2,432.715,1179.44
858,13496.0,1,501.0100000000001,152.32
859,13497.0,1,153.5,194.55
867,13506.0,1,301.12,157.4
880,13520.0,1,303.4,3320.95
883,13523.0,1,566.95,3397.93
888,13531.0,1,305.45,178.35
891,13534.0,1,283.2,5586.88
908,13564.0,2,599.19,550.64
912,13569.0,1,118.32,255.43
918,13576.0,1,349.15000000000003,6368.1900000000005
920,13579.0,1,164.70000000000002,302.34
934,13599.0,1,352.84000000000003,4800.83
942,13611.0,1,303.15000000000003,868.6500000000001
950,13627.0,1,311.19,1327.28
966,13649.0,1,197.8,148.8
969,13652.0,1,308.8,786.28
980,13668.0,1,177.66,6185.93
996,13694.0,2,1448.52,62142.58
1003,13705.0,1,318.14,393.72
1011,13715.0,2,248.315,582.71
1038,13748.0,1,204.0,744.25
1045,13756.0,3,334.8,4185.12
1046,13758.0,2,359.42499999999995,2471.7
1053,13767.0,6,406.56,14781.0
1054,13769.0,1,322.3,2474.21
1058,13777.0,3,2320.5933333333337,19015.38
1065,13787.0,1,106.4,202.64
1069,13798.0,2,2085.33,32983.19
1088,13817.0,1,128.7,254.28
1097,13831.0,1,408.0,1794.9899999999998
1102,13838.0,1,238.11,453.62
1104,13842.0,1,310.57,3075.05
1107,13846.0,1,411.4,453.66
1108,13848.0,1,320.0,935.0
1113,13854.0,2,304.72,7500.08
1124,13869.0,1,323.62,2781.33
1133,13880.0,1,97.8,3121.97
1143,13890.0,1,190.35,1693.46
1178,13941.0,1,1095.12,4017.84
1186,13953.0,1,500.0,3015.68
1190,13959.0,1,214.74,383.46
1193,13963.0,1,151.3,513.24
1195,13969.0,1,317.59000000000003,8736.35
1205,13982.0,1,428.6,1443.21
1206,13983.0,1,329.36,2274.07
1207,13984.0,1,154.8,765.71
1218,13999.0,1,302.1,3599.71
1220,14001.0,1,301.24,1741.84
1230,14016.0,1,753.74,3587.47
1239,14030.0,1,676.5000000000001,1683.59
1240,14031.0,3,856.3166666666666,14717.91
1241,14032.0,2,309.71000000000004,2356.17
1245,14037.0,1,111.8,35.400000000000006
1251,14045.0,1,326.4,1333.35
1253,14047.0,1,286.92,1021.69
1257,14051.0,3,609.3866666666668,13782.23
1263,14057.0,1,925.92,5292.04
1265,14060.0,3,291.34666666666664,5266.38
1266,14062.0,2,722.0600000000001,9020.73
1276,14078.0,1,136.24,913.13
1279,14081.0,1,423.52,511.0
1281,14083.0,2,229.945,558.54
1282,14085.0,3,396.7466666666666,3258.3
1287,14092.0,2,300.865,3475.1800000000003
1291,14099.0,1,383.52,2720.65
1297,14107.0,1,363.24,2339.99
1303,14113.0,1,433.5,1406.92
1317,14135.0,3,315.68333333333334,3743.26
1325,14146.0,1,1241.43,2949.57
1329,14150.0,1,306.18,352.46000000000004
1333,14156.0,1,322.2,117057.43
1336,14159.0,1,193.22,4499.79
1337,14161.0,1,283.15,827.3700000000001
1347,14176.0,1,159.55,417.35
1351,14180.0,3,298.75,3852.27
1355,14189.0,1,311.24,4342.84
1363,14201.0,1,67.24000000000001,680.2
1369,14210.0,1,304.95000000000005,1600.89
1373,14215.0,1,166.0,1623.72
1375,14217.0,1,118.3,1886.68
1378,14220.0,1,312.98,319.42
1391,14236.0,1,189.3,301.55999999999995
1398,14243.0,2,236.0,2116.77
1405,14256.0,1,523.86,445.2
1421,14282.0,1,571.0,3158.34
1428,14290.0,1,777.5600000000001,1537.09
1431,14293.0,1,364.92,681.64
1434,14298.0,2,2344.73,46837.84
1435,14299.0,1,429.24,3536.38
1441,14307.0,1,783.11,2212.61
1442,14309.0,1,147.75,2204.78
1457,14334.0,1,320.15,2232.06
1465,14344.0,3,118.55,534.28
1495,14388.0,1,312.8,2900.04
1497,14390.0,1,223.7,4429.12
1499,14395.0,1,308.68,3199.03
1500,14396.0,1,110.35,377.64
1503,14401.0,1,247.38,3804.1
1505,14404.0,1,133.48,1340.84
1509,14409.0,1,328.80000000000007,1730.65
1514,14414.0,1,217.2,1279.78
1515,14415.0,1,875.18,5025.1
1518,14419.0,1,124.1,933.96
1534,14440.0,1,656.7,1700.98
1537,14443.0,1,303.5,1116.7
1540,14448.0,1,102.35,273.0
1541,14449.0,1,210.24,696.86
1554,14466.0,1,379.75,1892.65
1557,14472.0,1,279.88,1656.96
1563,14479.0,1,174.4,141.85
1570,14487.0,1,125.1,1071.23
1573,14491.0,1,127.2,213.73
1577,14496.0,1,304.34000000000003,234.47
