,age,default,housing,loan,duration,campaign,previous,deposit
0,59,no,yes,no,1042,1,0,1
1,56,no,no,no,1467,1,0,1
2,41,no,yes,no,1389,1,0,1
3,55,no,yes,no,579,1,0,1
4,54,no,no,no,673,2,0,1
5,42,no,yes,yes,562,2,0,1
6,56,no,yes,yes,1201,1,0,1
7,60,no,yes,no,1030,1,0,1
8,37,no,yes,no,608,1,0,1
9,28,no,yes,no,1297,3,0,1
10,38,no,yes,no,786,1,0,1
11,30,no,yes,no,1574,2,0,1
12,29,no,yes,yes,1689,4,0,1
13,46,no,yes,no,1102,2,0,1
14,31,no,yes,no,943,2,0,1
15,35,no,yes,no,1084,1,0,1
16,32,no,yes,no,541,3,0,1
17,49,no,yes,no,1119,1,0,1
18,41,no,yes,no,1120,2,0,1
19,49,no,yes,yes,513,1,0,1
20,28,no,yes,no,442,2,0,1
21,43,no,yes,no,756,1,0,1
22,43,no,yes,no,2087,2,0,1
23,43,no,yes,no,1120,2,0,1
24,37,no,yes,no,985,2,0,1
25,35,no,yes,no,617,4,0,1
26,31,no,yes,no,483,3,0,1
27,43,no,yes,no,929,3,0,1
28,31,no,yes,no,538,1,0,1
29,28,no,yes,no,710,1,0,1
30,32,yes,yes,no,653,1,0,1
31,60,no,yes,no,1028,2,0,1
32,26,no,yes,no,654,1,0,1
33,40,no,yes,no,1692,2,0,1
34,33,no,yes,no,665,2,0,1
35,32,no,no,no,757,2,0,1
36,35,no,no,no,504,4,0,1
37,33,no,yes,no,1346,1,0,1
38,38,no,yes,no,568,4,0,1
39,23,no,yes,no,395,2,0,1
40,60,no,yes,yes,1015,1,0,1
41,48,no,yes,no,683,2,0,1
42,45,no,yes,no,470,1,0,1
43,36,no,yes,no,1001,4,0,1
44,52,no,yes,no,845,1,0,1
45,35,no,yes,no,945,2,0,1
46,43,no,yes,no,1721,2,0,1
47,52,no,yes,no,942,3,0,1
48,53,no,yes,no,476,1,0,1
49,48,no,yes,no,832,1,0,1
50,41,no,yes,no,1553,1,0,1
51,39,no,yes,yes,1328,1,0,1
52,59,no,yes,yes,1125,2,0,1
53,41,no,yes,no,858,1,0,1
54,48,no,yes,no,629,2,0,1
55,40,no,yes,no,704,1,0,1
56,48,no,yes,no,760,1,0,1
57,60,no,yes,no,930,1,0,1
58,40,no,yes,no,1028,2,0,1
59,57,no,no,no,850,2,0,1
60,51,no,yes,no,927,1,0,1
61,41,no,yes,no,1423,3,0,1
62,41,no,yes,no,1162,4,0,1
63,52,no,yes,no,755,1,0,1
64,59,no,yes,no,695,1,0,1
65,44,no,yes,no,483,1,0,1
66,49,no,yes,yes,520,2,0,1
67,40,no,yes,no,920,2,0,1
68,41,no,yes,no,500,1,0,1
69,44,no,yes,no,911,2,0,1
70,60,no,yes,no,920,2,0,1
71,29,no,no,no,1224,2,0,1
72,41,no,yes,no,1156,2,0,1
73,41,no,yes,no,1052,1,0,1
74,42,no,yes,no,1867,6,0,1
75,36,no,yes,no,515,1,0,1
76,39,no,yes,yes,813,1,0,1
77,31,no,yes,no,676,1,0,1
78,26,no,yes,no,1143,3,0,1
79,31,no,yes,no,688,1,0,1
80,29,no,yes,yes,803,1,0,1
81,37,no,yes,no,619,2,0,1
82,33,no,yes,no,767,2,0,1
83,24,no,yes,no,912,1,0,1
84,50,no,yes,no,1340,1,0,1
85,27,no,yes,no,897,1,0,1
86,54,no,yes,no,1297,3,0,1
87,30,no,yes,no,1193,5,0,1
88,34,no,yes,yes,1064,4,0,1
89,37,no,yes,no,1187,4,0,1
90,41,no,yes,no,882,1,0,1
91,47,no,yes,no,943,2,0,1
92,31,no,yes,no,607,1,0,1
93,31,no,yes,no,1022,4,0,1
94,43,no,yes,no,552,3,0,1
95,37,no,yes,no,1622,2,0,1
96,30,no,yes,yes,967,6,0,1
97,41,no,yes,no,579,5,0,1
98,36,no,yes,no,446,1,0,1
99,35,no,yes,no,1205,1,0,1
100,29,no,yes,no,1882,2,0,1
101,35,no,yes,no,1334,1,0,1
102,31,no,yes,no,182,2,0,1
103,35,no,yes,no,1777,1,0,1
104,34,no,yes,no,1182,4,0,1
105,31,no,yes,yes,1045,1,0,1
106,44,no,yes,no,650,3,0,1
107,36,no,yes,yes,1063,2,0,1
108,35,no,yes,no,843,2,0,1
109,41,no,yes,no,1392,2,0,1
110,31,no,yes,no,565,1,0,1
111,34,no,yes,no,905,1,0,1
112,32,no,yes,no,783,2,0,1
113,36,no,yes,yes,958,2,0,1
114,30,yes,yes,no,412,1,0,1
115,37,no,yes,no,795,1,0,1
116,36,no,yes,no,649,2,0,1
117,31,no,yes,no,506,2,0,1
118,27,no,yes,yes,857,1,0,1
119,34,no,no,no,1681,1,0,1
120,30,no,yes,no,1697,2,0,1
121,32,no,yes,no,860,2,0,1
122,37,no,yes,no,799,1,0,1
123,32,no,yes,no,923,3,0,1
124,33,no,yes,no,521,3,0,1
125,35,no,yes,no,1349,8,0,1
126,35,no,yes,no,736,2,0,1
127,30,no,yes,no,785,1,0,1
128,45,no,yes,no,1030,1,0,1
129,45,no,yes,no,893,3,0,1
130,33,no,yes,no,588,3,0,1
131,44,no,no,no,597,6,0,1
132,40,no,yes,no,1015,3,0,1
133,31,no,yes,no,1392,2,0,1
134,30,no,yes,no,414,2,0,1
135,44,no,yes,no,788,11,0,1
136,34,no,yes,no,682,1,0,1
137,37,no,no,no,679,2,0,1
138,28,no,yes,no,1560,2,0,1
139,32,no,yes,no,1234,3,0,1
140,37,no,yes,no,642,2,0,1
141,34,no,yes,no,895,4,0,1
142,38,no,yes,no,431,2,0,1
143,28,no,yes,no,741,6,0,1
144,31,no,yes,no,1272,4,0,1
145,59,no,yes,no,748,3,0,1
146,24,no,yes,no,896,3,0,1
147,26,no,yes,no,764,2,0,1
148,59,no,yes,no,1063,5,0,1
149,30,no,yes,yes,1051,1,0,1
150,37,no,yes,no,731,3,0,1
151,30,no,yes,yes,751,1,0,1
152,25,no,yes,no,709,1,0,1
153,44,no,yes,yes,3094,2,0,1
154,29,no,no,no,938,2,0,1
155,26,no,yes,no,1560,2,0,1
156,26,no,yes,no,576,3,0,1
157,27,no,yes,no,543,2,0,1
158,25,no,yes,no,615,2,0,1
159,28,no,yes,no,507,1,0,1
160,23,no,yes,no,1183,1,0,1
161,34,no,yes,no,864,2,0,1
162,28,no,yes,no,1730,1,0,1
163,51,no,yes,no,560,9,0,1
164,35,no,yes,yes,543,1,0,1
165,35,no,yes,no,539,1,0,1
166,56,no,yes,no,791,2,0,1
167,45,no,yes,no,746,1,0,1
168,60,no,yes,no,1207,1,0,1
169,56,no,yes,no,535,2,0,1
170,27,no,yes,no,789,3,0,1
171,30,no,yes,no,792,3,0,1
172,45,no,yes,no,833,2,0,1
173,29,no,yes,no,814,2,0,1
174,38,no,yes,no,1363,2,0,1
175,30,no,yes,no,1109,3,0,1
176,44,no,yes,no,828,3,0,1
177,36,no,yes,no,917,1,0,1
178,38,no,yes,no,762,3,0,1
179,36,no,yes,yes,1133,2,0,1
180,37,no,yes,no,638,1,0,1
181,35,no,yes,no,763,1,0,1
182,38,no,yes,no,604,2,0,1
183,40,no,yes,no,854,2,0,1
184,42,no,yes,no,855,2,0,1
185,46,no,yes,no,1269,1,0,1
186,35,no,yes,no,691,10,0,1
187,34,no,yes,no,1097,15,0,1
188,32,no,yes,no,1236,2,0,1
189,50,no,yes,no,886,3,0,1
190,35,no,yes,yes,1343,3,0,1
191,36,no,yes,no,812,3,0,1
192,53,no,yes,no,1980,2,0,1
193,46,no,yes,no,984,2,0,1
194,26,no,yes,no,228,2,0,1
195,45,no,yes,no,891,4,0,1
196,31,no,yes,no,745,12,0,1
197,29,no,yes,no,539,12,0,1
198,53,no,yes,no,1044,5,0,1
199,27,no,yes,no,1193,2,0,1
200,39,no,yes,no,526,2,0,1
201,36,no,yes,no,394,1,0,1
202,41,no,yes,yes,659,2,0,1
203,36,no,yes,no,1036,1,0,1
204,32,no,yes,no,815,1,0,1
205,35,no,yes,no,563,1,0,1
206,36,no,yes,no,1068,1,0,1
207,35,no,yes,no,230,3,0,1
208,30,no,yes,no,747,2,0,1
209,42,no,yes,no,671,5,0,1
210,42,yes,yes,no,555,5,0,1
211,32,no,yes,no,777,4,0,1
212,29,no,yes,no,707,14,0,1
213,44,yes,yes,no,432,4,0,1
214,32,no,yes,no,1173,3,0,1
215,31,no,yes,yes,963,2,0,1
216,40,yes,yes,yes,941,3,0,1
217,43,no,no,no,1025,7,0,1
218,27,no,yes,no,732,2,0,1
219,37,no,yes,no,1045,3,0,1
220,23,no,yes,no,768,1,0,1
221,25,no,yes,no,801,1,0,1
222,26,yes,yes,no,482,2,0,1
223,47,no,yes,no,2456,2,0,1
224,35,no,yes,no,1363,7,0,1
225,32,no,yes,no,1336,4,0,1
226,45,no,yes,no,633,1,0,1
227,30,no,yes,no,524,15,0,1
228,29,no,yes,no,578,1,0,1
229,38,no,yes,no,984,2,0,1
230,23,no,yes,no,638,1,0,1
231,27,no,yes,no,767,2,0,1
232,27,yes,yes,no,525,2,0,1
233,29,no,yes,no,563,1,0,1
234,30,no,yes,yes,1449,6,0,1
235,36,no,yes,no,920,1,0,1
236,35,no,yes,no,908,1,0,1
237,36,no,no,no,208,1,0,1
238,59,no,yes,no,910,2,0,1
239,47,no,no,no,1446,1,0,1
240,58,no,no,no,1149,2,0,1
241,37,no,no,no,1123,1,0,1
242,46,no,yes,no,508,2,0,1
243,43,no,yes,no,736,2,0,1
244,27,no,yes,no,590,3,0,1
245,38,no,no,no,636,1,0,1
246,53,no,no,yes,701,1,0,1
247,47,no,no,no,761,2,0,1
248,56,yes,no,no,1558,1,0,1
249,41,no,no,no,1053,2,0,1
250,29,no,yes,no,562,15,0,1
251,50,no,yes,no,494,5,0,1
252,45,no,no,no,1018,3,0,1
253,35,no,yes,no,884,4,0,1
254,26,no,yes,no,709,5,0,1
255,26,no,yes,yes,1276,2,0,1
256,37,no,no,yes,381,2,0,1
